Sequence,Domain,Family,Species
Enterococcus faecium H17575 draft (28 frags),BacteriaFamilies,Enterococcaceae,Enterococcus faecium
Enterococcus faecium 9830091-5 draft (30 frags),BacteriaFamilies,Enterococcaceae,Enterococcus faecium
Enterococcus faecium 841V03 draft (34 frags),BacteriaFamilies,Enterococcaceae,Enterococcus faecium
Enterococcus faecium 109 A1 draft (35 frags),BacteriaFamilies,Enterococcaceae,Enterococcus faecium
Enterococcus faecium CRL1879 draft (73 frags),BacteriaFamilies,Enterococcaceae,Enterococcus faecium
Enterococcus faecium Pat2-1 Enterococcus faecium EnGen0375 draft (17 frags),BacteriaFamilies,Enterococcaceae,Enterococcus faecium
Enterococcus faecium Pat2-2 Enterococcus faecium EnGen0376 draft (82 frags),BacteriaFamilies,Enterococcaceae,Enterococcus faecium
Enterococcus faecium LA4B-2 draft (106 frags),BacteriaFamilies,Enterococcaceae,Enterococcus faecium
Enterococcus faecium UC7267 draft (458 frags),BacteriaFamilies,Enterococcaceae,Enterococcus faecium
Enterococcus faecium E155 draft (495 frags),BacteriaFamilies,Enterococcaceae,Enterococcus faecium
Enterococcus faecium PC4.1 draft (78 frags),BacteriaFamilies,Enterococcaceae,Enterococcus faecium
Enterococcus faecium TX0082 draft (151 frags),BacteriaFamilies,Enterococcaceae,Enterococcus faecium
Enterococcus faecium TX0133a04 draft (211 frags),BacteriaFamilies,Enterococcaceae,Enterococcus faecium
Enterococcus faecium E980 draft (131 frags),BacteriaFamilies,Enterococcaceae,Enterococcus faecium
Enterococcus faecium E1679 draft (340 frags),BacteriaFamilies,Enterococcaceae,Enterococcus faecium
Enterococcus faecium NEF1 draft (47 frags),BacteriaFamilies,Enterococcaceae,Enterococcus faecium
Enterococcus faecium C68 draft (14 frags),BacteriaFamilies,Enterococcaceae,Enterococcus faecium
Enterococcus faecium UC7256 draft (143 frags),BacteriaFamilies,Enterococcaceae,Enterococcus faecium
Enterococcus gallinarum strain SKF1 draft (6 frags),BacteriaFamilies,Enterococcaceae,Enterococcus gallinarum
Enterococcus hirae ATCC 9790 draft (34 frags),BacteriaFamilies,Enterococcaceae,Enterococcus hirae
Enterococcus italicus DSM 15952 draft (157 frags),BacteriaFamilies,Enterococcaceae,Enterococcus italicus
Enterococcus italicus DSM 15952 draft (157 frags),BacteriaFamilies,Enterococcaceae,Enterococcus italicus
Enterococcus mundtii crl1656 draft (643 frags),BacteriaFamilies,Enterococcaceae,Enterococcus mundtii
Enterococcus sp. GMD4E draft (99 frags),BacteriaFamilies,Enterococcaceae,Enterococcus sp. GMD4E
Enterococcus sp. GMD4E draft (99 frags),BacteriaFamilies,Enterococcaceae,Enterococcus sp. GMD4E
"Eremothecium coryli CBS 5749, combined chrs",FungiFamilies,Saccharomycetaceae,Eremothecium coryli
Erwinia amylovora ATCC 49946 chromosome,BacteriaFamilies,Enterobacteriaceae,Erwinia amylovora
Erwinia amylovora Ea266 draft (38 frags),BacteriaFamilies,Enterobacteriaceae,Erwinia amylovora
Erwinia amylovora MR1 draft (29 frags),BacteriaFamilies,Enterobacteriaceae,Erwinia amylovora
Erwinia amylovora UPN527 draft (18 frags),BacteriaFamilies,Enterobacteriaceae,Erwinia amylovora
Erwinia sp. 9145,BacteriaFamilies,Enterobacteriaceae,Erwinia sp. 9145
Erysipelotrichaceae bacterium 3_1_53 draft (163 frags),BacteriaFamilies,Erysipelotrichaceae,Erysipelotrichaceae bacterium 3_1_53
Erysipelotrichaceae bacterium 3_1_53 draft (163 frags),BacteriaFamilies,Erysipelotrichaceae,Erysipelotrichaceae bacterium 3_1_53
Erysipelotrichaceae bacterium 6_1_45 draft (91 frags),BacteriaFamilies,Erysipelotrichaceae,Erysipelotrichaceae bacterium 6_1_45
Escherichia coli E2348/69 chromosome from Sanger on Apr 22 2008 1:47PM,BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli E110019 draft (137 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli O157:H7 str. EC4501 draft (250 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli O157:H7 str. FRIK966 draft (316 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli O157:H7 str. EC4206 draft (7 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli B7A draft (289 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli E24377A plasmid pETEC_35 ,BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli SE11 plasmid pSE11-2 ,BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli SMS-3-5 plasmid pSMS35_130 ,BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli 53638 draft (2 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli 53638 plasmid p53638_226 ,BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli Vir68 plasmid pVir68 ,BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli UMN026 plasmid p2ESCUM ,BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli 1827-70 draft (35 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli MS 124-1 draft (176 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli MS 145-7 draft (143 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli B str. REL606 chromosome,BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli MS 107-1 draft (72 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli 042,BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli MS 69-1 draft (425 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli O157:H7 str. TW14588 draft (10 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli H736 draft (135 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli M605 draft (162 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli MS 146-1 draft (355 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli MS 84-1 draft (432 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli MS 187-1 draft (310 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli H299 draft (229 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli FVEC1302 draft (149 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli MS 21-1 draft (540 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli W plasmid pRK1 ,BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli ETEC H10407 plasmid p52 ,BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli 5.0588 draft (31 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli 96.154 draft (3 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli 93.0624 draft (49 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli 1.2264 draft (31 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli STEC_7v draft (29 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli O55:H7 str. USDA 5905 draft (154 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli O157:H- str. 493-89 draft (204 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli O157:H7 str. 1044 draft (70 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli O55:H7 str. 3256-97 draft (188 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli MS 85-1 draft (234 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli RN587/1 draft (73 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli MS 79-10 draft (157 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli 1357 Escherichia coli OK1357 draft (180 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli LT-68 draft (63 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli E128010 draft (284 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli EPECa14 draft (199 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli 3431 draft (127 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli XH001 draft (108 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli O104:H4 str. 01-09591 draft (287 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli STEC_S1191 draft (39 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli STEC_B2F1 draft (37 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli 3003 draft (8 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli O111:H11 str. CVM9534 draft (559 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli DEC14A draft (46 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli DEC13D draft (42 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli DEC13A draft (37 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli DEC12E draft (97 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli DEC12D draft (88 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli DEC8E draft (72 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli DEC3D draft (96 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli DEC3B draft (61 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli DEC2E draft (77 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli DEC1E draft (50 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli DEC1C draft (81 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli 541-15 draft (301 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli KD2 draft (264 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli O111:H8 str. CVM9574 draft (469 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli O111:H8 str. CVM9570 draft (633 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli O111:H11 str. CVM9545 draft (790 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli SCI-07 draft (68 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli DEC8B draft (100 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli DEC7C draft (68 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli DEC3C draft (72 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli EC4422 draft (393 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli TW09195 draft (1288 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli EC4402 draft (785 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli TW09098 draft (486 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli PA39 draft (889 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli PA33 draft (596 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli PA3 draft (508 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli PA15 draft (530 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli FRIK1990 draft (629 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli B799 draft (78 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli O104:H4 str. 11-4632 C5 draft (47 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli O104:H4 str. 11-4632 C4 draft (54 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli O104:H4 str. 04-8351 draft (25 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli TW10509 draft (92 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli MS 16-3 draft (451 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli E101 draft (95 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli O111 str. CVM9455 Escherichia coli O111:H11 str. CVM9455 draft (845 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli EPECa12 draft (110 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli TW10119 draft (56 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli PA40 draft (66 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli O26:H11 str. CVM10224 draft (354 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli O111:H8 str. CVM9602 draft (268 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli NE098 draft (471 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli EC1735 draft (430 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli EC1865 draft (788 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli EC1847 draft (527 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli EC1737 draft (500 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli PA23 draft (475 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli 10.0869 draft (419 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli 5.2239 draft (432 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli ARS4.2123 draft (245 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli PA49 draft (531 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli PA4 draft (455 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli O26:H11 str. CFSAN001629 draft (259 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli EC1863 draft (412 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli EC4448 draft (566 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli 99.0713 draft (121 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli 97.0007 draft (284 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli 96.0107 draft (369 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli 94.0618 draft (391 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli 93.0055 draft (412 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli 88.1042 draft (427 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli 90.0039 draft (445 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli 89.0511 draft (508 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli KTE160 draft (110 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli KTE113 draft (87 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli KTE109 draft (52 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli KTE148 draft (144 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli O104:H4 str. 11-02318 draft (43 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli O104:H4 str. 11-03943 draft (42 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli O104:H4 str. 11-02913 draft (37 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli KO11FL chromosome,BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli O157:H7 str. TW14359 chromosome,BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli UM146 chromosome,BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli ED1a chromosome,BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli KO11FL plasmid pEKO1101 ,BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli O157:H7 str. EC4115 plasmid pO157 ,BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli O111:H- str. 11128 plasmid pO111_3 ,BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli O104:H4 str. 2011C-3493 plasmid pAA-EA11 ,BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli KO11FL chromosome,BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli W plasmid pRK1 ,BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli NA114 chromosome,BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli UMN026 plasmid p1ESCUM ,BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli UMNK88 plasmid pUMNK88_K88 ,BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli O111:H- str. 11128,BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli O157:H7 EDL933 plasmid pO157 ,BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli LF82,BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli O55:H7 str. RM12579 plasmid p12579_5 ,BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli O104:H4 str. Ec11-4986 draft (39 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli O104:H4 str. Ec11-5604 draft (44 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli O104:H4 str. Ec11-4984 draft (39 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli ETEC H10407 plasmid pEntH10407 ,BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli ETEC 1392/75 plasmid p557 ,BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli plasmid pO26-Vir ,BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli plasmid p271A ,BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli plasmid pLMO226 ,BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli plasmid pO26-S3 ,BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli plasmid pMUR050 ,BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli plasmid pMG828-4 ,BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli APEC O78,BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli O26:H- plasmid pO26-CRL ,BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli plasmid pRAx ,BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli A2363 plasmid pAPEC-O2-R ,BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli plasmid pMG828-3 ,BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli plasmid ColE9-J ,BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli plasmid pHK17a ,BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli plasmid pEC_L8 ,BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli plasmid pEC278 ,BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli ED1a plasmid pECOED ,BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli O5:K4(L):H4 str. ATCC 23502 draft (160 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli Nissle 1917 draft (143 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli 99.1793 draft (185 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli 99.0815 draft (297 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli 99.0670 draft (131 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli PA2 draft (110 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli PA47 draft (158 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli O7:K1 str. CE10 chromosome,BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli O157:H- str. 493-89 draft (351 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli H30 draft (75 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli TW14425 draft (155 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli TW10598 draft (310 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli EC4009 Escherichia coli O157:H7 str. EC4009 draft (277 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli 97.0264 draft (133 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli NCCP15657 draft (93 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli O104:H4 str. ON2010 draft (80 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli 09BKT078844 draft (623 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli chi7122 plasmid pAPEC-1 ,BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli KTE56 draft (40 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli KTE235 draft (62 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli KTE214 draft (45 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli KTE210 draft (38 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli KTE205 draft (56 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli KTE193 draft (64 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli KTE187 draft (37 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli KTE28 draft (33 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli KTE26 draft (14 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli KTE25 draft (30 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli KTE12 draft (53 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli KTE57 draft (38 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli KTE51 draft (108 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli KTE236 draft (62 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli KTE224 draft (50 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli KTE21 draft (71 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli KTE4 draft (56 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli KTE173 draft (47 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli KTE165 draft (22 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli KTE84 draft (34 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli KTE43 draft (42 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli KTE45 draft (31 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli KTE143 draft (65 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli KTE93 draft (36 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli KTE223 draft (45 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli KTE197 draft (42 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli KTE175 draft (33 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli KTE194 draft (34 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli KTE54 draft (36 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli KTE6 draft (27 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli KTE87 draft (50 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli KTE81 draft (42 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli KTE77 draft (38 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli O104:H4 str. E112/10 draft (218 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli O104:H4 str. H112180540 draft (512 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli O25b:H4-ST131 str. EC958 Escherichia coli O25b:ST131 str. JIE186 draft (240 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli LCT-EC52 draft (191 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli P0302308.5 draft (133 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli P0301867.5 draft (136 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli P0299917.3 draft (375 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli P0299917.8 draft (184 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli P0299438.10 draft (104 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli P0298942.8 draft (442 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli 2875150 draft (276 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli 2862600 draft (159 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli 2730350 draft (271 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli P0298942.12 draft (202 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli P0298942.11 draft (205 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli MP021561.3 draft (213 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli MP021552.7 draft (259 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli p0305293.9 draft (194 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli 2871950 draft (196 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli BCE002_MS12 draft (97 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli p0305293.15 draft (167 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
Escherichia coli p0305293.10 draft (189 frags),BacteriaFamilies,Enterobacteriaceae,Escherichia coli
