Target Description	a483920-2391847-070525-424_A01	a174305-8347510-070525-424_A02	a592183-1029384-070525-424_A03	a381927-5647382-070525-424_A04	a849201-8374629-070525-424_A05	a720394-6583721-070525-424_A06	a483920-2391847-070525-428_A01	a174305-8347510-070525-428_A02	a592183-1029384-070525-428_A03	a381927-5647382-070525-428_A04	a849201-8374629-070525-428_A05	a720394-6583721-070525-428_A06
Enterococcus faecalis UAA769 draft (24 frags)												
Escherichia coli HVH 180 (4-3051617) draft (38 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Porphyromonas uenonis 60-3 draft (250 frags)												
Ruminococcus callidus ATCC 27760 draft (484 frags)			Secondary						Secondary			
Lactococcus phage jm2					DETECTED	Secondary					DETECTED	DETECTED
Escherichia coli UMEA 3155-1 draft (35 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Oscillibacter sp. KLE 1728 draft (293 frags)	DETECTED	DETECTED	DETECTED	Secondary	Secondary	Secondary	DETECTED	DETECTED	DETECTED	Secondary	DETECTED	Secondary
Escherichia coli O157:H7 str. K1845 draft (110 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli P0299917.8 draft (184 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Pseudomonas aeruginosa BWHPSA015 draft (19 frags)												
Escherichia coli O157:H7 str. EC4115 plasmid pO157 					Secondary						Secondary	Secondary
Escherichia coli strain 77300132 draft (397 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Enterococcus faecalis TX0860 draft (88 frags)												
Lactococcus lactis subsp. cremoris SK11 plasmid 1 												
Escherichia coli KTE77 draft (38 frags)				Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary
Enterobacter cloacae UCI 36 draft (17 frags)											Secondary	
Escherichia coli DEC3D draft (96 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Lactobacillus paracasei subsp. paracasei Lpp37 draft (264 frags)												
Staphylococcus lugdunensis VCU150 draft (28 frags)												
Gardnerella vaginalis JCP8481B draft (180 frags)				Secondary		Secondary				Secondary	Secondary	Secondary
Streptococcus suis ST1 chromosome												Secondary
Escherichia coli SE11 plasmid pSE11-2 					Secondary						Secondary	Secondary
Streptococcus suis D9 chromosome												Secondary
Pseudomonas aeruginosa BWHPSA010 draft (30 frags)												
Methanobrevibacter smithii TS96A draft (47 frags)	Secondary	Secondary	Secondary				Secondary	Secondary	Secondary			
Yersinia enterocolitica subsp. enterocolitica WA-314 draft (129 frags)												
Enterococcus faecium UC7267 draft (458 frags)												
Streptococcus pneumoniae MNZ14 draft (79 frags)												
Escherichia coli O111 str. CVM9455 Escherichia coli O111:H11 str. CVM9455 draft (845 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Streptococcus pneumoniae GA17484 draft (6 frags)												
Escherichia coli O145:NM str. 2010C-3510 draft (104 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Shigella flexneri Shi06AH091 draft (304 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Lachnospiraceae bacterium ACC2 draft (16 frags)	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary		Secondary	Secondary	Secondary	Secondary
Escherichia coli SMS-3-5 plasmid pSMS35_130 					Secondary					Secondary	Secondary	Secondary
Escherichia coli SCD2 draft (123 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Streptococcus macedonicus ACA-DC 198				Secondary		Secondary				Secondary	Secondary	Secondary
Escherichia coli 2730350 draft (271 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli O157:H7 str. K2324 draft (111 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli O157:H7 EDL933 plasmid pO157 					Secondary						Secondary	Secondary
Prevotella copri DSM 18205 draft (73 frags)												
Bacteroides fragilis str. 1007-1-F #8 draft (315 frags)	Secondary	Secondary	Secondary				Secondary	Secondary	Secondary			
Streptococcus infantis SK1302 draft (148 frags)				Secondary	Secondary	Secondary				Secondary	Secondary	Secondary
Streptococcus pyogenes ABC020004984 draft (15 frags)												
Escherichia coli HVH 203 (4-3126218) draft (19 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli 2-222-05_S1_C2 draft (106 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Klebsiella pneumoniae strain blaNDM-1 plasmid plasmid2 												
Escherichia coli KTE197 draft (42 frags)				Secondary	Secondary	Secondary	Secondary	Secondary		Secondary	Secondary	Secondary
Escherichia coli 1-392-07_S1_C1 draft (174 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Lactococcus garvieae ATCC 49156 draft (6 frags)												
Escherichia coli O111:NM str. K6904 draft (207 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli 2-052-05_S1_C3 draft (148 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli 2726800 draft (50 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Bifidobacterium adolescentis L2-32 draft (74 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli 606 draft (504 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli M2 draft (698 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Pseudomonas aeruginosa JD324 draft (2181 frags)												
Escherichia coli KTE26 draft (14 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Pseudomonas aeruginosa 3580 draft (75 frags)												
Escherichia coli O26:H1 str. 2009C-3612 Escherichia coli O26:H11 str. 2009C-3612 draft (232 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
"Saccharomyces cerevisiae CLIB215, combined chrs"												
Escherichia coli P0299917.3 draft (375 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Enterobacter aerogenes UCI 48 draft (16 frags)					Secondary					Secondary	Secondary	Secondary
Escherichia coli 6-175-07_S3_C2 draft (123 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Klebsiella pneumoniae CHS 51 draft (33 frags)												
Enterococcus faecalis ATCC 29200 draft (123 frags)												
HST297840 Hop stunt viroid RNA isolate HSVd.apr24												
Bacteroides sp. 1_1_30 draft (171 frags)	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary
Escherichia coli B7A plasmid pEB2 					Secondary					Secondary	Secondary	Secondary
Enterococcus faecium P1190 draft (262 frags)												
Escherichia coli O104:H4 str. 01-09591 draft (287 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Enterobacter aerogenes FGI35 draft (8 frags)					Secondary					Secondary	Secondary	Secondary
Streptococcus thermophilus MTCC 5460 draft (143 frags)				DETECTED		Secondary				Secondary	Secondary	Secondary
Human papillomavirus type 6 complete genome isolate 117												
Klebsiella pneumoniae CHS 40 draft (40 frags)												
Tobacco mosaic virus isolate Tor2-L1					Secondary							
Haemophilus parasuis SW140 draft (77 frags)												
Escherichia coli 2729250 draft (148 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli MS 124-1 draft (176 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Prevotella pallens ATCC 700821 draft (168 frags)												
Klebsiella pneumoniae UHKPC09 draft (205 frags)												
Shigella flexneri strain 4S BJ10610 draft (442 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Enterobacter cloacae subsp. cloacae SY-70 draft (184 frags)											Secondary	
Escherichia coli KTE21 draft (71 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli PA47 draft (158 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli HVH 44 (4-2298570) draft (41 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Lactobacillus buchneri ATCC 11577 draft (165 frags)												
Lactobacillus iners LEAF 2052A-d draft (28 frags)												
Escherichia coli FRIK1990 draft (629 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli 2-474-04_S4_C3 draft (93 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Streptococcus dysgalactiae subsp. equisimilis AC-2713				Secondary		Secondary				Secondary		Secondary
Staphylococcus epidermidis VCU065 draft (87 frags)												
Enterococcus faecium 841V03 draft (34 frags)												
Clostridium clostridioforme 90A7 draft (35 frags)	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary		Secondary	Secondary	Secondary	Secondary
Streptococcus pyogenes ABC020048184 draft (9 frags)												
Streptococcus sp. M143 draft (28 frags)				Secondary	Secondary	Secondary				Secondary	Secondary	Secondary
Edwardsiella ictaluri 93-146 chromosome												
Enterococcus faecium P1986 draft (333 frags)												
Klebsiella pneumoniae Kb677 draft (2 frags)												
Citrobacter koseri ATCC BAA-895 chromosome				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Lactococcus lactis subsp. lactis strain MJC15 plasmid pCD4 												
Klebsiella pneumoniae IS39 draft (990 frags)												
Streptococcus pyogenes ABC020032523 draft (9 frags)												
Lactobacillus salivarius UCC118 plasmid pSF118-20 												
Streptococcus pneumoniae GA17971 draft (10 frags)												
Holdemania filiformis DSM 12042 draft (289 frags)					Secondary	Secondary				Secondary	Secondary	DETECTED
Streptococcus sp. HSISM1 draft (118 frags)				Secondary	Secondary	Secondary				Secondary	Secondary	Secondary
Chicken anemia virus strain GD-K-12												
Bacteroides barnesiae DSM 18169 draft (47 frags)	Secondary	Secondary	Secondary				Secondary	Secondary	Secondary			
Leuconostoc citreum KM20 plasmid pLCK1 												
Veillonella sp. AS16 draft (22 frags)				Secondary	DETECTED	Secondary				Secondary	Secondary	Secondary
Escherichia coli HVH 155 (4-4509048) draft (16 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Klebsiella pneumoniae CHS 44 draft (40 frags)												
Lactococcus garvieae Tac2 draft (97 frags)												
Escherichia coli EC4448 draft (566 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Propionibacterium sp. HGH0353 draft (7 frags)												
Escherichia coli DEC1E draft (50 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Propionibacterium acnes HL036PA1 draft (21 frags)												
Shigella flexneri 2747-71 draft (50 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Oscillibacter sp. KLE 1745 draft (286 frags)	Secondary	Secondary	Secondary		Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary
Streptococcus agalactiae LMG 15091 draft (36 frags)												
Shigella sonnei 53G plasmid B		DETECTED						Secondary				
Escherichia coli HVH 109 (4-6977162) draft (94 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Staphylococcus epidermidis 528m draft (117 frags)												
Bacteroides fragilis str. S23 R14 draft (263 frags)	Secondary	Secondary	Secondary				Secondary	Secondary	Secondary			
Enterococcus faecium E1575 draft (100 frags)												
Escherichia coli O104:H4 str. 04-8351 draft (25 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Staphylococcus epidermidis VCU123 draft (80 frags)												
Klebsiella pneumoniae subsp. pneumoniae MGH 78578 plasmid pKPN4 												
Bacteroides eggerthii 1_2_48FAA draft (28 frags)	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary
Streptococcus criceti HS-6 draft (2 frags)				Secondary		Secondary				Secondary	Secondary	Secondary
Streptococcus agalactiae FSL S3-603 draft (105 frags)												
Bacteroides eggerthii DSM 20697 draft (70 frags)	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary
Escherichia coli DEC13D draft (42 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli O104:H4 str. 2011C-3493 plasmid pAA-EA11 					Secondary					Secondary	Secondary	Secondary
Pseudomonas aeruginosa BL11 draft (30 frags)												
Leuconostoc kimchii IMSNU 11154 plasmid LkipL4704 												
Prevotella maculosa OT 289 draft (54 frags)												
Yersinia pestis D182038 plasmid pPCP1 												
Propionibacterium phage PHL115M02												
Prevotella histicola F0411 draft (39 frags)												
Veillonella atypica ACS-134-V-Col7a draft (70 frags)				Secondary		Secondary				Secondary		Secondary
Lactobacillus animalis KCTC 3501 draft (32 frags)												
Negativicoccus succinicivorans DORA_17_25 draft (356 frags)				Secondary		Secondary				Secondary		Secondary
Escherichia coli ETEC H10407 plasmid pEntH10407 				Secondary	Secondary	Secondary				Secondary	Secondary	Secondary
Escherichia coli strain 48 draft (21 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Prevotella histicola JCM 15637 = DNF00424 draft (54 frags)												
Pseudomonas aeruginosa PAO579 draft (16 frags)												
Shigella flexneri Shi06HN378 draft (296 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Lactobacillus paracasei N1115 plasmid 			DETECTED						DETECTED			DETECTED
Pepper mild mottle virus mRNA for 126 kDa protein 183kDa protein 28kDa protein 17kDa protein complete cds	Secondary	Secondary		Secondary	Secondary							
Ruminococcus bromii L2-63 draft genome	Secondary	Secondary	Secondary		Secondary	Secondary	Secondary	Secondary	Secondary			Secondary
Anaerococcus sp. ph10 Anaerococcus obesiensis ph10 draft (32 frags)												
Lactobacillus suebicus KCTC 3549 draft (143 frags)												
Escherichia coli HVH 112 (4-5987253) draft (34 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Enterococcus faecalis TX1322 draft (116 frags)												
Streptococcus agalactiae SGBS002 draft (21 frags)												
Methanobrevibacter smithii ATCC 35061 chromosome	Secondary	Secondary	Secondary				Secondary	Secondary	Secondary			
Escherichia coli plasmid pMG828-3 		DETECTED						Secondary				
Escherichia coli P0304799.3 draft (491 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Streptococcus pneumoniae 3063-00 draft (9 frags)												
Streptococcus mutans 11VS1 draft (155 frags)												
Propionibacterium acnes HL086PA1 draft (30 frags)												
Escherichia coli BW25113				Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary
Streptococcus sobrinus TCI-357 draft (220 frags)												
Mobiluncus mulieris ATCC 35243 draft (65 frags)												
Pseudomonas aeruginosa 9BR draft (2 frags)												
Streptococcus suis 89/1591 draft (82 frags)												
Prevotella buccalis ATCC 35310 draft (118 frags)												
Lactobacillus plantarum WCFS1 plasmid pWCFS103 												
Pseudomonas aeruginosa PA1												
Clostridium leptum DSM 753 draft (22 frags)												
Klebsiella pneumoniae BIDMC 22 draft (16 frags)												
Prevotella sp. C561 draft (195 frags)												
Streptococcus pyogenes ABC020050818 draft (2 frags)												
Escherichia coli MP020940.1 draft (56 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli MS 16-3 draft (451 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli Vir68 plasmid pVir68 					Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
"Saccharomyces cerevisiae FL100, combined chrs"												
Escherichia coli strain E455L draft (15 frags)				Secondary	Secondary	Secondary	Secondary	Secondary		Secondary	Secondary	Secondary
Escherichia coli BIDMC 17B draft (14 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Weissella koreensis KACC 15510 plasmid WKp2903 												
Enterobacter sp. MGH 34 draft (8 frags)												
Klebsiella pneumoniae 30660/NJST258_1												
Prevotella multiformis DSM 16608 draft (71 frags)												
Escherichia coli 90.0039 draft (445 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli 8-415-05_S1_C1 draft (132 frags)				Secondary	Secondary	Secondary	Secondary	Secondary		Secondary	Secondary	Secondary
Streptococcus agalactiae FSL S3-003 draft (32 frags)												
Streptococcus pyogenes ABC020052497 draft (12 frags)												
Enterococcus faecalis TUSoD Ef11 draft (11 frags)												
Streptococcus pyogenes ABC020014897 draft (10 frags)												
Klebsiella pneumoniae strain blaNDM-1												
Escherichia coli O145:H28 str. RM12581				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Bacteroides salanitronis DSM 18170 plasmid pBACSA03 		DETECTED	Secondary									
Escherichia coli LCT-EC52 draft (191 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Ruminococcus obeum ATCC 29174 draft (62 frags)	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary
Escherichia coli DEC3C draft (72 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli O104:H4 str. E112/10 draft (218 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Bifidobacterium bifidum IPLA 20015 draft (571 frags)				Secondary	Secondary	Secondary				Secondary	Secondary	Secondary
Escherichia coli KTE235 draft (62 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Streptococcus mutans GS-5 chromosome												
Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 draft (135 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Pectobacterium wasabiae CFBP 3304 draft (73 frags)												
GB virus C isolate DH028												
Enterococcus faecalis B939 draft (48 frags)												
Escherichia coli W plasmid pRK1 												
Pseudomonas sp. 20_BN												
Streptococcus pyogenes UTMEM-1 draft (54 frags)												
Prevotella sp. CC98A Prevotella oralis CC98A draft (14 frags)												
Propionibacterium acnes HL027PA2 draft (42 frags)												
Streptococcus pyogenes ABC020052877 draft (6 frags)												
Lactococcus lactis subsp. cremoris HP draft (213 frags)												
Human papillomavirus type 6 complete genome isolate 107												
Stx2 converting phage II DNA												
Escherichia coli UMN026 plasmid p1ESCUM 					Secondary	Secondary				Secondary	Secondary	Secondary
Pediococcus pentosaceus IE-3 draft (91 frags)												
AF081782 Hepatitis G virus strain HGV-Iw isolate pHGVqz												
Escherichia coli PA15 draft (530 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Erwinia toletana DAPP-PG 735 draft (94 frags)											Secondary	
Enterococcus faecalis SF26630 draft (27 frags)												
Staphylococcus epidermidis 41tr draft (100 frags)												
Escherichia coli plasmid ColE9-J 												
Escherichia coli MC19 draft (369 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Dorea longicatena CCUG 45247 Dorea longicatena DSM 13814 draft (52 frags)	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary
Pseudomonas aeruginosa BWHPSA008 draft (21 frags)												
Pseudomonas aeruginosa PAO1 draft (843 frags)												
Haemophilus parainfluenzae HK2019 draft (42 frags)				Secondary						Secondary		
Streptococcus agalactiae SGBS005 draft (25 frags)												
Streptococcus pneumoniae GA17328 draft (17 frags)												
Cucumber green mottle mosaic virus isolate JSHZ12												
Serratia fonticola AU-P3(3) draft (44 frags)												
Haemophilus parahaemolyticus HK385 draft (61 frags)										Secondary		
Streptococcus sp. HPH0090 draft (14 frags)				Secondary	Secondary	Secondary				Secondary	Secondary	Secondary
Escherichia coli P0305260.10 draft (122 frags)				Secondary	Secondary	Secondary	Secondary	Secondary		Secondary	Secondary	Secondary
Staphylococcus epidermidis WI09 draft (95 frags)												
Escherichia coli strain E. coli draft (447 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Endophytic bacterium LOB-07 plasmid pLK39 												
Pseudomonas aeruginosa JD323 draft (1965 frags)												
Escherichia coli TW10509 draft (92 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli 2845350 draft (172 frags)				Secondary	Secondary	Secondary	Secondary	Secondary		Secondary	Secondary	Secondary
Escherichia coli 6-537-08_S3_C1 draft (97 frags)				Secondary	Secondary	Secondary	Secondary	Secondary		Secondary	Secondary	Secondary
Escherichia coli 38.52 draft (498 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Lactococcus lactis strain AI06												
Streptococcus plurextorum DSM 22810 draft (36 frags)				Secondary		Secondary				Secondary	Secondary	Secondary
Propionibacterium acnes HL005PA2 draft (35 frags)												
Klebsiella pneumoniae UCICRE 4 draft (22 frags)												
CAN297684 Chicken anaemia virus complete genome clone 33												
Streptococcus mutans SA41 draft (104 frags)												
Shigella dysenteriae SD1D draft (146 frags)				Secondary	Secondary	Secondary	Secondary	Secondary		Secondary	Secondary	Secondary
Enterococcus faecium UAA1022 draft (35 frags)												
Klebsiella cf. planticola B43 draft (703 frags)		Secondary		Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Pseudomonas cremoricolorata DSM 17059 draft (27 frags)												
Escherichia coli O91 draft (439 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli K1 strain 910 draft (844 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Klebsiella pneumoniae BIDMC 41 draft (34 frags)												
Escherichia coli O104:H4 str. H112180540 draft (512 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Streptococcus pyogenes GA19702 draft (35 frags)												
Pseudomonas aeruginosa MTB-1												
Tobacco mosaic virus isolate Fenggang-1					Secondary							
Bifidobacterium gallinarum strain LMG 11586 draft (10 frags)				Secondary	Secondary	Secondary		Secondary		DETECTED	Secondary	Secondary
Escherichia coli 1-110-08_S4_C2 draft (199 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli ED1a chromosome				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Streptococcus mutans TCI-138 draft (131 frags)												
Tomato mosaic virus strain ToMV1-2												
Streptococcus dysgalactiae subsp. equisimilis RE378				Secondary		Secondary				Secondary		Secondary
Lactobacillus reuteri strain TMW1.656 draft (24 frags)												
Enterococcus faecalis B2813 draft (47 frags)												
Escherichia coli UMEA 3216-1 draft (34 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Propionibacterium acnes HL059PA2 draft (23 frags)												
Chicken anemia virus isolate SDLY08												
Escherichia coli KTE224 draft (50 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Pediococcus claussenii ATCC BAA-344 plasmid pPECL-1 												
Klebsiella pneumoniae CHS 14 draft (28 frags)												
Streptococcus agalactiae MRI Z1-023 draft (23 frags)												
Bifidobacterium cuniculi strain LMG 10738 draft (41 frags)				Secondary	Secondary	Secondary				Secondary	Secondary	Secondary
Enterococcus faecium HF50106 draft (39 frags)												
Chicken anemia virus isolate VRDC/CAV/HR/C19/11 VP2 protein (VP2) apoptin (VP3) and capsid protein (VP1) genes complete cds												
Escherichia coli O157:H7 str. K2192 draft (149 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Streptococcus pneumoniae GA16121 draft (7 frags)												
Enterococcus faecalis TX1302 draft (66 frags)												
Prevotella marshii JCM 13450 draft (80 frags)												
Enterococcus faecalis GA2 draft (50 frags)												
Escherichia coli HVH 78 (4-2735946) draft (57 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli O45:H2 str. 2010C-4211 draft (21 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Actinomyces odontolyticus DSM 43331 Actinomyces odontolyticus ATCC 17982 draft (4 frags)												
Atopobium vaginae DSM 15829 draft (6 frags)												
Parabacteroides merdae ATCC 43184 draft (118 frags)	Secondary	DETECTED	Secondary				DETECTED	Secondary	DETECTED			
Escherichia coli EC4009 Escherichia coli O157:H7 str. EC4009 draft (277 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Clostridium sp. 7_2_43FAA draft (58 frags)	Secondary											
Escherichia coli 87A draft (1232 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Haemophilus influenzae 22.4-21 draft (44 frags)				Secondary						Secondary		
Methanobrevibacter smithii DSM 2374 draft (25 frags)	Secondary	Secondary	Secondary				Secondary	Secondary	Secondary			
Streptococcus pneumoniae 2070035 draft (24 frags)												
Methanobrevibacter oralis JMR01 draft (60 frags)	Secondary	Secondary	Secondary				Secondary	Secondary	Secondary			
Escherichia coli BIDMC 63 draft (19 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli O145:H28 str. RM13514				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli 1-110-08_S3_C1 draft (188 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli DEC12E draft (97 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Pseudomonas aeruginosa 3581 draft (78 frags)												
Lactobacillus paracasei subsp. tolerans Lpl7 draft (91 frags)												
Staphylococcus epidermidis Scl22 draft (501 frags)												
Enterococcus faecalis UAA711 Enterococcus faecium EnGen0308 draft (36 frags)												
Enterococcus faecalis HIP11704 draft (143 frags)												
Tobacco mosaic virus 183 kDa protein 126 kDa protein 54 kDa protein movement protein and coat protein genes complete cds					Secondary							
Streptococcus suis YS66 draft (40 frags)						Secondary				Secondary		Secondary
Streptococcus mutans TCI-218 draft (136 frags)												
Staphylococcus capitis QN1 draft (30 frags)												
Escherichia coli 2-222-05_S4_C3 draft (200 frags)				Secondary	Secondary	Secondary	Secondary	Secondary		Secondary	Secondary	Secondary
Pseudomonas aeruginosa H1l draft (39 frags)												
Prevotella bryantii C21a draft (27 frags)												
Pseudomonas aeruginosa 19BR												
Corynebacterium tuberculostearicum SK141 draft (37 frags)												
Enterococcus italicus DSM 15952 draft (157 frags)												
Prevotella pleuritidis F0068 draft (51 frags)												
Pseudomonas aeruginosa LESB65 sequence												
Staphylococcus epidermidis MC19 draft (219 frags)												
Tobacco mosaic virus isolate Changle-9					DETECTED							
Metascardovia criceti DSM 17774 draft (11 frags)				Secondary		Secondary				Secondary		
Escherichia coli C1214_90 draft (513 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Uncultured bacterium plasmid pTRACA18 												
Anaeroglobus geminatus F0357 draft (103 frags)												
Propionibacterium acnes HL072PA1 draft (34 frags)												
Escherichia coli MS 187-1 draft (310 frags)				Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary
Tobacco mosaic virus isolate WT-L2					Secondary							
Streptococcus pyogenes ABC020005887 draft (4 frags)												
Escherichia coli plasmid pE66An 												
Enterococcus faecium TX0133a04 draft (211 frags)												
Escherichia coli chi7122 plasmid pAPEC-1 				Secondary	Secondary			Secondary		Secondary	Secondary	Secondary
"Saccharomyces cerevisiae YPS163, combined chrs"												
Escherichia coli EPECa14 draft (199 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli P0298942.12 draft (202 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Erwinia sp. 9145											Secondary	
Lactobacillus helveticus MTCC 5463 draft (593 frags)												
Dickeya dadantii 3937 chromosome												
